Rooms,house_types,region_name,predicted_prices
3,0,0,968561.0
3,0,0,968561.0
3,0,0,968561.0
3,0,1,994008.7
2,0,1,763744.1
2,2,1,606540.6
2,1,1,685142.4
3,0,1,994008.7
3,0,2,1019456.5
3,1,1,915407.0
4,0,1,1224273.3
2,0,0,738296.4
4,0,0,1198825.6
2,0,1,763744.1
3,0,1,994008.7
2,1,2,710590.1
2,0,2,789191.9
3,0,2,1019456.5
2,1,2,710590.1
1,1,2,480325.5
3,0,1,994008.7
3,1,2,940854.7
3,2,2,862253.0
4,0,2,1249721.1
4,0,3,1275168.9
4,0,3,1275168.9
4,0,1,1224273.3
2,1,2,710590.1
2,2,2,631988.4
5,0,2,1479985.7
3,0,2,1019456.5
3,1,2,940854.7
4,0,2,1249721.1
4,0,2,1249721.1
4,0,2,1249721.1
3,0,2,1019456.5
4,0,2,1249721.1
2,1,2,710590.1
4,0,4,1300616.6
4,0,2,1249721.1
2,1,2,710590.1
4,0,2,1249721.1
4,0,2,1249721.1
3,1,4,991750.2
4,2,2,1092517.6
4,2,2,1092517.6
3,0,2,1019456.5
3,0,2,1019456.5
2,2,2,631988.4
3,2,2,862253.0
2,0,2,789191.9
2,0,2,789191.9
4,0,2,1249721.1
4,0,2,1249721.1
4,0,4,1300616.6
4,0,4,1300616.6
3,0,4,1070352.0
4,0,4,1300616.6
5,0,4,1530881.2
3,0,4,1070352.0
4,0,4,1300616.6
3,1,4,991750.2
4,0,3,1275168.9
2,1,4,761485.7
3,0,1,994008.7
2,0,1,763744.1
2,2,1,606540.6
4,0,2,1249721.1
3,0,2,1019456.5
4,0,2,1249721.1
4,0,2,1249721.1
3,0,0,968561.0
2,0,0,738296.4
3,0,0,968561.0
4,0,0,1198825.6
2,0,0,738296.4
3,0,0,968561.0
2,2,0,581092.9
3,0,0,968561.0
2,1,0,659694.6
3,0,0,968561.0
2,0,0,738296.4
3,2,0,811357.5
2,1,0,659694.6
2,0,0,738296.4
4,0,0,1198825.6
3,0,0,968561.0
4,0,4,1300616.6
2,2,0,581092.9
4,0,0,1198825.6
2,1,0,659694.6
5,0,2,1479985.7
3,0,2,1019456.5
4,2,4,1143413.1
4,2,4,1143413.1
4,0,4,1300616.6
3,1,4,991750.2
2,1,2,710590.1
3,2,2,862253.0
2,0,2,789191.9
3,0,2,1019456.5
3,0,2,1019456.5
2,1,2,710590.1
2,1,2,710590.1
4,0,2,1249721.1
5,0,2,1479985.7
2,0,0,738296.4
3,0,0,968561.0
